run_id,kernel_name,x_0,mu,std,acquisition,selected
1,Square Exponential,0.2,0.778144417901488,0.6147751790796281,2.0076947760607444,True
1,Square Exponential,0.2241206030150754,0.7919927301054724,0.5981153071895584,1.9882233444845894,False
1,Square Exponential,0.24824120603015076,0.8055910028152642,0.5811095579569187,1.9678101187291015,False
1,Square Exponential,0.2723618090452261,0.8189173413305303,0.5637719424528014,1.9464612262361332,False
1,Square Exponential,0.2964824120603015,0.8319499372234627,0.5461177160699269,1.9241853693633164,False
1,Square Exponential,0.3206030150753769,0.8446671241968995,0.528163372428052,1.9009938690530035,False
1,Square Exponential,0.34472361809045227,0.8570474346557498,0.5099266328442568,1.8769007003442635,False
1,Square Exponential,0.3688442211055276,0.8690696568033448,0.4914264313273974,1.8519225194581397,False
1,Square Exponential,0.392964824120603,0.8807128920684563,0.4726828950832881,1.8260786822350323,False
1,Square Exponential,0.4170854271356784,0.8919566126636582,0.4537173205483272,1.7993912537603127,False
1,Square Exponential,0.44120603015075377,0.902780719071461,0.43455214500564565,1.7718850090827523,False
1,Square Exponential,0.4653266331658292,0.9131655972513043,0.4152109138814275,1.7435874250141592,False
1,Square Exponential,0.4894472361809045,0.9230921753580421,0.39571824387297366,1.7145286631039895,False
1,Square Exponential,0.5135678391959799,0.932541979761056,0.37609978212918954,1.684741544019435,False
1,Square Exponential,0.5376884422110553,0.9414971901525858,0.35638216179615917,1.6542615137449042,False
1,Square Exponential,0.5618090452261306,0.9499406935343131,0.3365929543676774,1.623126602269668,False
1,Square Exponential,0.585929648241206,0.9578561368726604,0.31676061946339573,1.5913773757994518,False
1,Square Exponential,0.6100502512562813,0.965227978215702,0.2969144529297666,1.5590568840752352,False
1,Square Exponential,0.6341708542713568,0.9720415360680222,0.27708453458017474,1.5262106052283717,False
1,Square Exponential,0.6582914572864322,0.9782830368242729,0.25730167756511363,1.4928863919545001,False
1,Square Exponential,0.6824120603015076,0.9839396600676135,0.23759738248249984,1.4591344250326133,False
1,Square Exponential,0.7065326633165829,0.9889995815455891,0.21800380126605637,1.4250071840777019,False
1,Square Exponential,0.7306532663316583,0.993452013643333,0.19855371934570068,1.3905594523347344,False
1,Square Exponential,0.7547738693467336,0.99728724318224,0.17928057104998932,1.3558483852822187,False
1,Square Exponential,0.778894472361809,1.000496666381374,0.16021851598118336,1.3209336983437407,False
1,Square Exponential,0.8030150753768843,1.003072820828869,0.14140263074638396,1.285878082321637,False
1,Square Exponential,0.8271356783919597,1.005009414321356,0.12286933008226984,1.2507480744858956,False
1,Square Exponential,0.8512562814070352,1.0063013504409763,0.10465727660169775,1.2156159036443719,False
1,Square Exponential,0.8753768844221106,1.0069447507517857,0.08680943062087425,1.180563611993534,False
1,Square Exponential,0.8994974874371859,1.0069369735102072,0.06937810322378628,1.1456931799577796,False
1,Square Exponential,0.9236180904522613,1.0062766287976475,0.05243935796944455,1.1111553447365365,False
1,Square Exponential,0.9477386934673366,1.0049635899973417,0.036144557187229774,1.0772527043718012,False
1,Square Exponential,0.971859296482412,1.0029990015518826,0.020990059017993275,1.044979119587869,False
1,Square Exponential,0.9959798994974873,1.0003852829526598,0.010349818361607203,1.0210849196758742,False
1,Square Exponential,1.0201005025125627,0.9971261289274762,0.016072972977514276,1.0292720748825048,False
1,Square Exponential,1.0442211055276382,0.9932265058078906,0.02906030506901344,1.0513471159459176,False
1,Square Exponential,1.0683417085427136,0.9886926440732211,0.042593992804050164,1.0738806296813215,False
1,Square Exponential,1.092462311557789,0.9835320270836205,0.05581292881825175,1.095157884720124,False
1,Square Exponential,1.1165829145728643,0.9777533760300607,0.0685115981414717,1.114776572313004,False
1,Square Exponential,1.1407035175879396,0.9713666311443956,0.0806050107020937,1.132576652548583,False
1,Square Exponential,1.164824120603015,0.9643829292278191,0.09204363228378769,1.1484701937953945,False
1,Square Exponential,1.1889447236180903,0.9568145775709294,0.1027919735375623,1.162398524646054,False
1,Square Exponential,1.2130653266331657,0.9486750243531423,0.11282153759359906,1.1743180995403404,False
1,Square Exponential,1.237185929648241,0.9399788256233429,0.12210806316754413,1.1841949519584312,False
1,Square Exponential,1.2613065326633166,0.9307416089773,0.130630317656381,1.192002244290062,False
1,Square Exponential,1.285427135678392,0.9209800340604661,0.13836952921142404,1.197719092483314,False
1,Square Exponential,1.3095477386934673,0.9107117500372501,0.14530910934038116,1.2013299687180123,False
1,Square Exponential,1.3336683417085426,0.8999553501796306,0.15143451747914916,1.2028243851379288,False
1,Square Exponential,1.357788944723618,0.888730323739028,0.1567331985008626,1.2021967207407531,False
1,Square Exponential,1.3819095477386933,0.8770570052755905,0.16119455875164324,1.1994461227788769,False
1,Square Exponential,1.4060301507537687,0.8649565216284585,0.16480996243117746,1.1945764464908133,False
1,Square Exponential,1.430150753768844,0.8524507367190802,0.16757273823366053,1.1875962131864013,False
1,Square Exponential,1.4542713567839194,0.8395621943872489,0.1694781904324656,1.17851857525218,False
1,Square Exponential,1.478391959798995,0.8263140594661506,0.17052361095914473,1.16736128138444,False
1,Square Exponential,1.5025125628140703,0.8127300573083733,0.17070829041159977,1.1541466381315728,False
1,Square Exponential,1.5266331658291457,0.7988344119794579,0.17003352678883174,1.1389014655571215,False
1,Square Exponential,1.550753768844221,0.7846517833391998,0.1685026313374489,1.1216570460140975,False
1,Square Exponential,1.5748743718592964,0.7702072032335028,0.16612093135257616,1.102449065938655,False
1,Square Exponential,1.5989949748743717,0.7555260110211487,0.16289577020212595,1.0813175514254005,False
1,Square Exponential,1.623115577889447,0.7406337886603823,0.15883650532745666,1.0583067993152957,False
1,Square Exponential,1.6472361809045226,0.7255562955797286,0.15395450562281887,1.0334653068253663,False
1,Square Exponential,1.671356783919598,0.7103194035559732,0.14826315057627235,1.006845704708518,False
1,Square Exponential,1.6954773869346733,0.6949490318197658,0.14177783515618728,0.9785047021321402,False
1,Square Exponential,1.7195979899497487,0.6794710826058852,0.13451598720181315,0.9485030570095114,False
1,Square Exponential,1.743718592964824,0.6639113773608512,0.1264971091335209,0.916905595627893,False
1,Square Exponential,1.7678391959798994,0.6482955938153294,0.11774286549928598,0.8837813248139014,False
1,Square Exponential,1.7919597989949747,0.6326492041226841,0.10827725755088566,0.8492037192244555,False
1,Square Exponential,1.81608040201005,0.6169974142581469,0.0981269686060139,0.8132513514701747,False
1,Square Exponential,1.8402010050251254,0.6013651048654166,0.08732206334717947,0.7760092315597755,False
1,Square Exponential,1.864321608040201,0.5857767737291556,0.07589747916005353,0.7375717320492626,False
1,Square Exponential,1.8884422110552763,0.5702564800428553,0.06389648388477406,0.6980494478124035,False
1,Square Exponential,1.9125628140703517,0.5548277906319475,0.05137975839773044,0.6575873074274085,False
1,Square Exponential,1.936683417085427,0.5395137282819299,0.038454151083173634,0.6164220304482771,False
1,Square Exponential,1.9608040201005024,0.5243367223106864,0.025394896289374438,0.5751265148894352,False
1,Square Exponential,1.9849246231155777,0.5093185615131961,0.013497899156002347,0.5363143598252008,False
1,Square Exponential,2.0090452261306533,0.49448034959549947,0.011490993918718662,0.5174623374329368,False
1,Square Exponential,2.033165829145729,0.47984246320319296,0.023088659168151414,0.5260197815394958,False
1,Square Exponential,2.057286432160804,0.46542451263790474,0.03769223549383281,0.5408089836255704,False
1,Square Exponential,2.0814070351758795,0.4512453053432642,0.05316585637555307,0.5575770180943703,False
1,Square Exponential,2.1055276381909547,0.4373228122298346,0.06912636148124117,0.575575535192317,False
1,Square Exponential,2.1296482412060302,0.4236741368964227,0.08543711953289378,0.5945483759622102,False
1,Square Exponential,2.1537688442211054,0.4103154877931877,0.10202113990437789,0.6143577676019435,False
1,Square Exponential,2.177889447236181,0.3972621533600415,0.1188212771019539,0.6349047075639493,False
1,Square Exponential,2.2020100502512565,0.3845284801621104,0.135788411288687,0.6561053027394843,False
1,Square Exponential,2.2261306532663316,0.3721278540324762,0.1528771397216231,0.6778821334757223,False
1,Square Exponential,2.250251256281407,0.36007268422116273,0.1700439857523959,0.7001606557259545,False
1,Square Exponential,2.2743718592964823,0.34837439053837116,0.18724659310975875,0.7228675767578887,False
1,Square Exponential,2.298492462311558,0.3370433934693793,0.2044433524775393,0.7459300984244579,False
